Name,Message,Video,Event Type,Actors,Required Conditition,Disable Condition
Wearable,"Since the device can no longer be shared due to portability, everyone in the family wants their own, which puts a strain on the family budget.",,Hazard,Family Budget,Wearable,Cat Content
Wearable,Insurance companies make use of the movement and fitness data of the wearable to calculate insurance costs.,,Issue,Insurance Company,Wearable,Cat Content
Wearable,Movement and health data are transferred to IoT Corp.,,Hazard,Private Data,Wearable,Cat Content
Wearable,An affair is revealed based on the stored motion profile on the device. The device was not safe from jealous partners.,,Hazard,Sophisticated Other,Wearable,Cat Content
Wearable,A better coverage of the Internet is needed to cover the increasing number of portable devices.,,Hazard,Internet Infrastructure,Wearable,Cat Content
Wearable,Now has private data of the users and must decide how to deal with it!,,Hazard,IoT Corp,Wearable,Cat Content
Wearable,"Potential misuse with the data and vital data are collected only from a certain group of people, those who have the income to pay such a wearable.",,Hazard,Training Data,Wearable,Cat Content
Wearable,The collected vital data could be used to train early detection of diseases.,,Positive,"Data Scientists,Training Data",Wearable,
Wearable,The number of location data collected is increasing rapidly!,,Issue,Location Data,Wearable,Cat Content
Wearable,The special small components must be transported together all over the world for assembly.,,Hazard,Transport,Wearable,Cat Content
Wearable,Gets an awareness of his vital signs.,,Positive,User,Wearable,
Wearable,The relationship with the jealous partner ends because an affair with the transaction data was uncovered when the device was not locked.,,Hazard,User,Wearable,Cat Content
Wearable,"As the components become more and more special and smaller, a large part of the garbage pickers' income is lost.",,Hazard,Waste Pickers,Wearable,Cat Content
Wearable,Increased overseas transport increases noise pollution in the oceans. Whales and other audio-sensitive animals are exposed to higher stress levels.,,Issue,Marine Mammals,Wearable,Cat Content
Wearable,More devices strain the home network. Frustration levels rise.,,Hazard,Wifi-Router,Wearable,Cat Content
Wearable / Cloud,"Population demands nationwide Wifi / Internet, as devices are used more and more mobile and do not work without Internet.",,Issue,State / Government,"Wearable,Cloud Storage",Cat Content
WILDCARD,"Increased risk of collision with transporter ships, as well as health risks from their waste water and ballast water discharges.",,Hazard,Marine Mammals,WILDCARD,Cat Content
WILDCARD,"Lead, cadmium, chrome and flame-retardant plastics are also found in electronic waste, which are hazardous to health!",,Issue,Waste Pickers,WILDCARD,Cat Content
WILDCARD,"Acoustic pollution from shipping traffic causes marine mammals to experience higher levels of stress, suppression of vital communication and can lead to hearing loss.",,Issue,Marine Mammals,WILDCARD,Cat Content
WILDCARD,"There is an increased risk of pollution of the marine environment, through ballast water discharges or leakage water from engine and machinery spaces. If the ship runs aground or is damaged, extreme oil pollution may occur.",,Hazard,Cargoships,WILDCARD,Cat Content
WILDCARD,"The cargo ships cause a large amount of acoustic, air and water pollution, which has a strong negative impact on the environment! ",,Issue,Cargoships,WILDCARD,Cat Content
WILDCARD,The user is not able to repair the device on his own.,,Issue,User,WILDCARD,Cat Content
WILDCARD,Unaudited and unchecked data sets lead to incorrect decisions.,,Hazard,Training Data,WILDCARD,Cat Content
